english,portuguese
I would buy it if it weren't so expensive.,Eu a compraria se não fosse tão cara.
Thank you for your support.,Obrigado por vosso apoio!
"When I saw him, I thought he was going to kill me.","Quando o vi, pensei que ia me assassinar."
I don't usually wait for anybody.,Eu não costumo esperar ninguém.
Why do people always say that?,Por que as pessoas sempre dizem isso?
Someone wants to meet you.,Alguém quer se encontrar com você.
Brush your teeth.,Escove os dentes.
It's always been that way.,Isso sempre foi assim.
I added a room to my house.,Adicionei um quarto à minha casa.
This book belongs to you.,Este livro te pertence.
Tom promised to fix that machine.,Tom prometeu consertar aquela máquina.
Tom was eavesdropping.,Tom estava ouvindo às escondidas.
Knock on the door before entering the room.,Bata antes de entrar no quarto.
"You found your key, didn't you?","Você encontrou a sua chave, não encontrou?"
What do you think is the right thing to do?,O que vocês acham que seja a coisa certa a se fazer?
I didn't know you wanted to go to Boston with Tom.,Eu não sabia que você queria ir a Boston com o Tom.
That wasn't smart.,Isso não foi inteligente.
I'll come by subway.,Eu virei de metrô.
Would you wait a second?,Poderias esperar um momento?
Tom used to go skiing a lot.,Tom costumava ir esquiar bastante.
We have a half-dozen eggs.,Temos meia dúzia de ovos.
We should've waited.,Deveríamos ter esperado.
I'm way too old to be doing this.,Eu estou muito velho para fazer isso.
They are inseparable.,Eles são inseparáveis.
I'm going to miss Tom's smile.,Sentirei falta do sorriso de Tom.
I'm not hungry right now.,Agora eu não estou com fome.
What am I doing?,Que estou a fazer?
She has an uncle who works in a bank.,Ela tem um tio que trabalha em um banco.
This coffee is too bitter.,Este café está muito amargo.
I read a magazine to kill time.,Eu li uma revista para matar tempo.
Tom chopped firewood all afternoon.,Tom rachou lenha a tarde toda.
Tom was charged with attempted murder.,Tom foi acusado de tentativa de homicídio.
The rain discouraged us from going out.,A chuva nos desanimou de sair.
Can you wait about an hour?,Você pode esperar mais ou menos uma hora?
Please translate this into French.,"Por favor, traduza isto para o francês."
Tom's fever is getting worse.,A febre do Tom está piorando.
They'll be here in ten minutes.,Estarão aqui em dez minutos.
I remember everything.,Eu me lembro de tudo.
His position enabled him to do so.,Sua posição permitiu que ele fizesse isso.
Tom refused to pay the taxi cab driver.,Tom se recusou a pagar o motorista do táxi.
That theory doesn't make any sense.,Aquela teoria não faz nenhum sentido.
Some people don't know that.,Algumas pessoas não sabem disso.
I don't know when he's coming.,Eu não sei quando ele virá.
Tom didn't know how to change his password.,Tom não sabia como mudar a senha dele.
Tom wanted to meet you.,Tom queria te conhecer.
Tom doesn't want to go with Mary.,Tom não quer ir com Maria.
Tom can't be replaced.,Tom não pode ser substituído.
Tom didn't come.,Tom não veio.
She brushed her husband's hat.,Ela escovou o chapéu do marido.
I think that Tom might be mad at me.,Eu acho que o Tom pode estar com raiva de mim.
I wish I could live my life doing only what I wanted to do.,Desejaria viver minha vida fazendo apenas o que eu quisesse fazer.
"Bring me a cup of coffee, please.","Traga-me uma xícara de café, por favor."
Which table do you want to buy?,Qual mesa queres comprar?
They don't know anything about you.,Elas não sabem nada sobre vocês.
What can you give me?,O que você pode me dar?
May I close the window?,Posso fechar a janela?
Thank you for the chocolate. It was delicious.,Obrigado pelo chocolate. Estava delicioso.
He's asleep.,Está adormecido.
Tom is in a big hurry.,Tom está com muita pressa.
Where's the funding coming from?,De onde está vindo o financiamento?
We love them.,Nós os amamos.
This never happened.,Isto nunca aconteceu.
I like writing poems.,Gosto de escrever poemas.
Tom opened the door to let his dog out.,Tom abriu a porta para o cachorro sair.
How did you become blind?,Como você ficou cego?
Take my handkerchief.,Tome meu lenço.
Sometimes I can't help myself.,"Às vezes, não consigo me conter."
Who taught you how to ride a horse?,Quem te ensinou a andar de cavalo?
Check your hat.,Verifique seu chapéu.
Tom was laid off in late October.,Tom foi despedido no final de outubro.
The thief was marched off to the police station.,O ladrão foi enviado à prefeitura de polícia.
This is my Christmas tree.,Esta é a minha árvore de Natal.
Tom didn't know he should do that by himself.,Tom não sabia que ele deveria fazer isso sozinho.
Tom wouldn't talk to anyone.,Tom não conversava com ninguém.
He is not scared of snakes at all.,Ele não tem medo de cobras de forma alguma.
I don't know the password.,Não sei a senha.
Tom obviously wants to kiss you.,O Tom obviamente quer te beijar.
He knows how to advise people.,Ele sabe dar conselhos.
"Tom is going to be OK, isn't he?","Tom vai ficar bem, não vai?"
I'd agree with that.,Eu concordaria com isso.
Are you sure you dialed the right number?,Tem certeza de que discou o número certo?
Why don't you go back to bed?,Por que tu não voltas para a cama?
Tom freaked out and started screaming.,O Tom se apavorou e começou a gritar.
I'm willing to risk that.,Estou disposto a arriscar isso.
Do you want some?,Vocês querem um pouco?
I just found it.,Acabei de encontrar.
We all have to be very careful.,Todos nós temos que ter muito cuidado.
How long have you been there?,Há quanto tempo você está aí?
That's Tom's mother.,Essa é a mãe de Tom.
We have only one chance.,Temos uma única chance.
Tom had a good dinner.,O Tom comeu bem ao jantar.
Tom will never find it.,Tom nunca o encontrará.
"I didn't know that you were from Boston, too.",Eu não sabia que você também era de Boston.
I have to buy a new battery for my watch.,Tenho de comprar uma pilha nova para o meu relógio.
"I'm sorry, I'm busy right now.","Desculpe-me, estou ocupado agora."
Tom spent the summer in Boston.,Tom passou o verão em Boston.
Why are you always so busy?,Por que vocês sempre estão ocupados?
The people I lend money to never pay me back.,As pessoas às quais empresto dinheiro nunca me pagam.
Tom bought a scarf for Mary.,Tom comprou um cachecol para Mary.
That's not wrong.,Isso não está errado.
Don't blame Tom.,Não culpe Tom.
Tom never goes to church.,Tom nunca vai à igreja.
He is my teacher.,Ele é meu professor.
Tom probably isn't ready.,Tom provavelmente não está pronto.
Tom spoke French to me.,O Tom falou em francês comigo.
He is fond of fishing.,Ele gosta de pescar.
I enjoyed talking with Tom.,Gostei de conversar com Tom.
Let me help you.,Deixe-me te ajudar.
You were delirious.,Você estava a delirar.
She thanked him for his help.,Ela agradeceu-lhe a ajuda.
It's a terrible thing.,É uma coisa terrível.
I hope that all your dreams come true.,Eu espero que todos os seus sonhos se realizem.
I suspect that Tom and Mary were anxious to do that.,Eu suspeito que Tom e Mary estavam ansiosos para fazer isso.
May I try that on?,Posso experimentar isso?
Tom is the only person to ever escape from that prison.,Tom é a única pessoa que escapou daquela prisão.
Washington is the capital of the United States.,Washington é a capital dos Estados Unidos.
You can't stop us.,Vocês não podem nos parar.
You were so strong.,Vocês eram muito fortes.
I have nothing.,Eu não tenho nada.
She agreed with him about the holiday plan.,Ela concordou com o plano de férias dele.
I've got one brother and two sisters.,Tenho um irmão e duas irmãs.
You're wise.,Tu és sábio.
"Don't you agree, Tom?","Você não concorda, Tom?"
I don't want to buy anything.,Eu não quero comprar nada.
There are no clouds in the sky.,Não há nuvens no céu.
"January, February, March, April, May, June, July, August, September, October, November and December are the twelve months of the year.","Janeiro, fevereiro, março, abril, maio, junho, julho, agosto, setembro, outubro, novembro e dezembro são os doze meses do ano."
The policeman captured the man who was running.,O policial capturou o homem que estava correndo.
I'm very sorry for the pain I caused.,Sinto muito pela dor que causei.
Do you know that?,Você sabe isso?
She brought a cup of tea to me.,Ela me trouxe uma xícara de chá.
My water bottle is empty.,Minha garrafa de água está vazia.
I think that Tom is absolutely right.,Eu acho que Tom tem toda a razão.
I'll bring the wine.,Trarei o vinho.
I doubt Tom will be home.,Duvido que o Tom vá estar em casa.
The room is dark.,A sala é escura.
Do you think that's what Tom wants?,Você acha que é isso o que o Tom quer?
I don't think anyone was here yesterday.,Eu não acho que alguém esteve aqui ontem.
Tom told me that he'd changed his plans.,Tom me disse que ele mudaria os seus planos.
I'll go and tell Tom.,Eu irei e contarei para o Tom.
This is a bit salty.,Isto está um pouco salgado.
What's your beef?,Qual é o seu problema?
I'll protect you.,Eu vou te proteger.
I'm not sure that Tom did anything.,Eu não tenho certeza se o Tom fez alguma coisa.
We're going to miss you.,Nós vamos sentir saudades de você.
Tom has a thing for Mary.,O Tom tem uma coisa para a Mary.
What happened to the other one?,O que aconteceu com a outra?
She warned the children not to play on the street.,Ela avisou às crianças para não brincarem na rua.
I hope Tom hasn't changed his mind.,Espero que Tom não tenha mudado de ideia.
That's a beautiful color on you.,Essa cor fica bonita em você.
Tom is only a beginner.,O Tom é só um iniciante.
Tell Tom to buy some sugar.,Diz ao Tom para comprar açúcar.
Could we speak to you?,Poderíamos falar com o senhor?
Was that you at the door?,Era você na porta?
May I talk with you?,Eu posso falar com você?
Tom didn't want to be a teacher.,Tom não queria ser professor.
I can't do it alone. You have to help me.,Eu não posso fazer isto sozinho. Vocês têm que me ajudar.
Tom couldn't put up with the pain.,Tom não conseguia suportar a dor.
What will that prove?,O que isso provará?
I'd just like to find out what happened.,Eu só gostaria de saber o que houve.
I enjoy chess.,Eu gosto de jogar xadrez.
My sister is pretty.,Minha irmã é bela.
It's become very easy.,Tornou-se muito fácil.
What's the correct answer?,Qual é a resposta correta?
Did you write down Tom's number?,Você anotou o número de Tom?
I bought it.,Eu a comprei.
I don't want you to go away.,Eu não quero que você vá embora.
The party was unforgettable.,A festa foi inesquecível.
Would you like a ride?,Gostaria de uma carona?
What did you think Tom would do?,Que estavam os senhores acreditando que Tom fosse fazer?
I watched the car disappearing slowly around the corner.,Vi o carro desaparecendo lentamente ao virar a esquina.
Tell Tom that I'm hungry.,Diga ao Tom que estou com fome.
Mary is wearing a new dress.,Maria está usando um vestido novo.
Tom said he had a daughter.,Tom disse que tinha uma filha.
Where's the bathroom?,Onde é o banheiro?
They came back.,Elas voltaram.
Tom is ready to go to the party.,Tom está pronto para ir à festa.
Do you like women?,Vós gostais de mulher?
"Hey, did you see that?","Ei, você viu isso?"
Tom doesn't think that we should even consider doing that.,Tom não acha que devemos considerar fazer isso.
I think it's OK.,Eu acho que está tudo bem.
Tom said that he might not be at school tomorrow.,Tom disse que talvez não vá à aula amanhã.
I thought that this was kind of weird.,Eu pensei que isso fosse meio estranho.
Are these questions relevant?,Essas perguntas são relevantes?
I can take Tom.,Eu posso levar o Tom.
All your questions will be answered.,Todas as perguntas de vocês vão ser respondidas.
I just didn't want you to worry.,Eu só não queria que você se preocupasse.
